"title","tokens","n","total","tf","idf","tf_idf"
"Project Manager","management",208,24995,0.00832166433286657,0.547311166114104,0.00455453981003136
"General Manager","manager",177,25342,0.00698445268723858,1.05749719919632,0.00738603915467397
"General Manager","management",146,25342,0.00576118696235498,0.547311166114104,0.00315316195456788
"Assistant Manager","manager",124,13661,0.00907693433862821,1.05749719919632,0.00959883264038819
"Project Manager","manager",111,24995,0.00444088817763553,1.05749719919632,0.0046962268097936
"Project Manager","manage",107,24995,0.00428085617123425,1.32034111832166,0.00565219042450159
"Operations Manager","management",83,10187,0.00814763914793364,0.547311166114104,0.00445929388313249
"Assistant Manager","management",78,13661,0.00570968450333065,0.547311166114104,0.00312497408366153
"Program Manager","management",74,7089,0.0104387078572436,0.547311166114104,0.00571322137007247
"Assistant Store Manager","manager",65,5141,0.0126434545808209,1.05749719919632,0.0133704178073839
"General Manager","manage",61,25342,0.00240707126509352,1.32034111832166,0.0031781551660335
"Office Manager","management",60,8392,0.00714966634890372,0.547311166114104,0.00391309222674527
"Community Manager","management",59,8228,0.00717063684978124,0.547311166114104,0.00392456961603454
"Administrative Assistant","management",57,16551,0.00344390067065434,0.547311166114104,0.00188488529203697
"Store Manager","management",53,5570,0.00951526032315978,0.547311166114104,0.00520780822334785
"Operations Manager","manager",52,10187,0.00510454500834397,1.05749719919632,0.00539804204949528
"Production Supervisor","supervisor",52,10124,0.00513630975898854,2.01390418576636,0.0103440357230196
"Community Manager","manager",50,8228,0.00607681088964511,1.05749719919632,0.00642621049584538
"Accounting Manager","manager",49,8728,0.0056141154903758,1.05749719919632,0.00593691140703706
"Assistant General Manager","manager",49,5716,0.00857242827151854,1.05749719919632,0.00906531888744217
"Service Manager","manager",49,6344,0.00772383354350567,1.05749719919632,0.0081679323393158
"Financial Analyst","management",48,5699,0.00842253026846815,0.547311166114104,0.00460974486286665
"Office Manager","manager",48,8392,0.00571973307912297,1.05749719919632,0.00604860171132306
"Staff Accountant","management",48,11265,0.00426098535286285,0.547311166114104,0.00233208486227048
"Marketing Manager","manager",47,10011,0.00469483568075117,1.05749719919632,0.00496477558308129
"Accounting Manager","management",46,8728,0.00527039413382218,0.547311166114104,0.00288454555926315
"General Manager","leadership",45,25342,0.00177570831031489,1.49578409994796,0.00265607625671448
"Sales Manager","manager",45,8020,0.00561097256857855,1.05749719919632,0.00593358777603917
"Restaurant General Manager","manager",44,3699,0.0118951067856177,1.05749719919632,0.0125790421099318
"Restaurant Manager","manager",44,5236,0.00840336134453781,1.05749719919632,0.00888653108568332
"Store Manager","manager",44,5570,0.00789946140035907,1.05749719919632,0.00835365830603911
"Manager","management",43,7613,0.0056482332851701,0.547311166114104,0.00309134114579095
"Account Manager","manager",42,9359,0.00448765893792072,1.05749719919632,0.00474568675779947
"Branch Manager","management",41,8910,0.00460157126823793,0.547311166114104,0.00251849133677646
"Manager","manager",41,7613,0.00538552476027847,1.05749719919632,0.00569517735019689
"District Manager","management",40,5225,0.0076555023923445,0.547311166114104,0.00418994194154338
"Program Manager","manager",39,7089,0.00550148116800677,1.05749719919632,0.00581780092659843
"Controller","management",38,6595,0.00576194086429113,0.547311166114104,0.00315357457351569
"Accounting Manager","manage",37,8728,0.00423923006416132,1.32034111832166,0.00559722976373754
"Human Resources Generalist","management",37,5342,0.00692624485211531,0.547311166114104,0.00379081114680304
"Human Resources Manager","management",36,6219,0.00578871201157742,0.547311166114104,0.00316822672135516
"Branch Manager","manager",35,8910,0.00392817059483726,1.05749719919632,0.00415402940200573
"Director of Human Resources","management",35,3546,0.0098702763677383,0.547311166114104,0.00540211246869533
"Systems Administrator","administration",35,5154,0.00679084206441599,1.99169019129548,0.0135252535303341
"Assistant Property Manager","manager",34,2798,0.0121515368120086,1.05749719919632,0.01285021614463
"Marketing Manager","manage",34,10011,0.00339626410947957,1.32034111832166,0.00448422715242596
"Marketing Manager","management",34,10011,0.00339626410947957,0.547311166114104,0.00185881327019075
"Production Supervisor","management",34,10124,0.00335835638087712,0.547311166114104,0.0018380659470446
"Sales Manager","management",34,8020,0.00423940149625935,0.547311166114104,0.00232027177654359
"Property Manager","management",33,2865,0.0115183246073298,0.547311166114104,0.00630410767251848
"Assistant General Manager","management",32,5716,0.00559832050384884,0.547311166114104,0.00306402332324201
"Executive Director","management",32,2544,0.0125786163522013,0.547311166114104,0.00688441718382521
"Housekeeping Supervisor","supervisor",32,4740,0.00675105485232068,2.01390418576636,0.0135959776254269
"Maintenance Supervisor","supervisor",32,6183,0.00517548115801391,2.01390418576636,0.0104229231674792
"Quality Assurance Manager","management",32,4509,0.00709691727655799,0.547311166114104,0.00388422207044829
"General Manager","control",31,25342,0.00122326572488359,1.76157345028845,0.00215487242360279
"Housekeeping Manager","manager",31,3499,0.00885967419262646,1.05749719919632,0.00936908064449436
"Manager","leadership",31,7613,0.00407198213582031,1.49578409994796,0.00609080613403216
